Ria,Coast,RiaCoast,LocNumRiaCoast,LocNumCumulative,LocName,Latitude,Longitude,DistanceRiver_Absolute,DistanceRiver_Normalized,Rock_Type,Wave_Mean,Ascophyllum_Coverage,Barnacles_Coverage,Corallina_Presence,FabalisObtusata_Presence,Fucus_Coverage,Gibbula_Presence,Lichina_Coverage,Littorea_Presence,Melarhaphe_Presence,Mytilus_Coverage,Nucella_Presence,Pelvetia_Coverage,Phorcus_Presence,EcolPC1,EcolPC2,Cluster,SaxatilisDensity_Mean,SaxatilisDensity_SD,IndividualNumCumulative,IndividualNumLoc,IDCodeName,IDCodeNameColorMorph,ShellSculpture,ColorMorph,Scars,ShellLength,ShellThickness,CS,RW1,RW2,RW3,SculpturedShell,Lineata,Fulva,RW1_Z,RW2_Z,ShellLength_Z,ShellThickness_Rel
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,1,1,Vigo_North_PuntaCabalo_1,Vigo_North_PuntaCabalo_1_fulva,Rudis,Fulva,Present,10.8,0.595,1.320151424,NA,0.101298196,-0.036640538,0,0,1,NA,2.755356501,2.116680801,0.139989531
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,2,2,Vigo_North_PuntaCabalo_2,Vigo_North_PuntaCabalo_2_fulva,Rudis,Fulva,Absent,9.2,0.352,1.158443247,0.018935123,0.073020589,-0.027201751,0,0,1,0.323897851,1.98619287,1.135142436,-0.272457991
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,3,3,Vigo_North_PuntaCabalo_3,Vigo_North_PuntaCabalo_3_fulva,Rudis,Fulva,Absent,9.5,0.43,1.158014544,-0.094101885,0.05036191,-0.037500062,0,0,1,-1.61040323,1.369866608,1.319180879,-0.094814379
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,4,4,Vigo_North_PuntaCabalo_4,Vigo_North_PuntaCabalo_4_fulva,Rudis,Fulva,Absent,9.2,0.428,1.139312335,0.036263845,0.115707076,-0.005741595,0,0,1,0.620428751,3.147284519,1.135142436,-0.076965971
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,5,5,Vigo_North_PuntaCabalo_5,Vigo_North_PuntaCabalo_5_fulva,Rudis,Fulva,Absent,8.9,0.469,1.10308613,-0.010366901,0.052948368,-0.027637104,0,0,1,-0.177521442,1.440219429,0.951103992,0.037770359
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,6,6,Vigo_North_PuntaCabalo_6,Vigo_North_PuntaCabalo_6_fulva,Rudis,Fulva,Absent,8.8,0.533,1.082760873,0.009957785,0.074880527,-0.044428907,0,0,1,0.170276706,2.03678402,0.889757844,0.173615817
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,7,7,Vigo_North_PuntaCabalo_7,Vigo_North_PuntaCabalo_7_fulva,Rudis,Fulva,Absent,6.7,0.355,0.89541682,0.042667998,0.055974638,-0.034534689,0,0,1,0.730017286,1.522535334,-0.39851126,-0.041523937
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,8,8,Vigo_North_PuntaCabalo_8,Vigo_North_PuntaCabalo_8_fulva,Rudis,Fulva,Absent,9.6,0.389,1.191392884,0.035557821,0.079453837,-0.029719922,0,0,1,0.608347195,2.16118011,1.380527027,-0.202366013
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,9,9,Vigo_North_PuntaCabalo_9,Vigo_North_PuntaCabalo_9_fulva,Rudis,Fulva,Present,8.3,0.458,1.051594943,-0.042958975,0.092519034,0.008091964,0,0,1,-0.735240415,2.516559345,0.583027105,0.06299952
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,0,0,1,5,0,0,0,0,1,0,2,0,-4.215160887,-2.440673944,WaveSheltered,89,16.64,10,10,Vigo_North_PuntaCabalo_10,Vigo_North_PuntaCabalo_10_fulva,Rudis,Fulva,Absent,9.3,0.363,1.191257584,-0.051017736,0.061243891,-0.006113229,0,0,1,-0.873142775,1.665861386,1.196488583,-0.249270348
