Ria,Coast,RiaCoast,LocNumRiaCoast,LocNumCumulative,LocName,Latitude,Longitude,DistanceRiver_Absolute,DistanceRiver_Normalized,Rock_Type,Wave_Mean,Ascophyllum_Coverage,Ascophyllum_Presence,Barnacles_Coverage,Barnacles_Presence,Corallina_Presence,FabalisObtusata_Presence,Fucus_Coverage,Fucus_Presence,Gibbula_Presence,Lichina_Coverage,Lichina_Presence,Littorea_Presence,Melarhaphe_Presence,Mytilus_Coverage,Mytilus_Presence,Nucella_Presence,Pelvetia_Coverage,Pelvetia_Presence,Phorcus_Presence,SaxatilisDensity1,SaxatilisDensity2,SaxatilisDensity3,SaxatilisDensity_Mean,SaxatilisDensity_SD,n,Albida_Counts,Fulva_Counts,Lutea_Counts,Aurantia_Counts,Fusca_Counts,Nigra_Counts,Lineata_Counts,Bande_Counts,Tessellata_Counts,ColorMorphNA_Counts,Sheltered_Counts,Rest_Counts,Minority_Counts,Fulva_Frequency,Lutea_Frequency,Fusca_Frequency,Lineata_Frequency,Sheltered_Frequency,Rest_Frequency,Minority_Frequency,Rudis_Counts,Rudissima_Counts,Jugosa_Counts,Jugosa_Frequency,ShellSculptureNA_Counts,ScarsAbsent_Counts,ScarsPresent_Counts,ScarsPresent_Frequency,ScarsNA_Counts,ShellLength_Mean,ShellLength_SD,ShellThickness_Mean,ShellThickness_SD,ShellThickness_Rel_Mean,ShellThickness_Rel_SD,CS_Mean,CS_SD,RW1_Mean,RW1_SD,RW2_Mean,RW2_SD,RW3_Mean,RW3_SD,EcolPC1,EcolPC2,Cluster
Vigo,North,VigoNorth,1,1,PuntaCabalo,42.327439,-8.636611,7067,0.13,AlkalineGranitoids,0.25,5,1,0,0,0,1,5,1,0,0,0,0,0,1,1,0,2,1,0,77,82,108,89,16.64,60,0,35,14,0,11,0,0,0,0,0,60,25,0,0.583,0.233,0.183,0,1,0.417,0,56,4,0,0,0,39,21,0.35,0,8.606666667,1.315857221,0.383283333,0.082711074,-0.064607783,0.079648739,1.072401149,0.163085573,-0.019116618,0.040680041,0.053792125,0.025402359,-0.03237175,0.023175751,-4.215160887,-2.440673944,WaveSheltered
Vigo,North,VigoNorth,2,2,SanAdrian,42.301108,-8.655425,13186,0.24,AlkalineGranitoids,0.75,5,1,0,0,0,1,5,1,1,0,0,1,0,2,1,0,1,1,0,37,33,23,31,7.21,62,2,35,15,0,10,0,0,0,0,0,60,27,2,0.565,0.242,0.161,0,0.968,0.435,0.032,53,9,0,0,0,38,24,0.387096774,0,10.1,1.169699415,0.491516129,0.075925922,-0.010510827,0.05905326,1.252008639,0.141409699,-0.018457521,0.037430877,0.031726504,0.033025078,-0.035983061,0.019136629,-3.956213163,-1.636753203,WaveSheltered
Vigo,North,VigoNorth,3,3,Borna,42.281131,-8.697458,20698,0.38,AlkalineGranitoids,0.75,0,0,5,1,1,1,4,1,1,0,0,1,0,3,1,1,0,0,1,103,115,128,115.3,12.5,59,12,1,1,0,0,0,36,9,0,0,2,22,21,0.017,0.017,0,0.61,0.034,0.373,0.356,3,33,23,0.39,0,56,3,0.050847458,0,7.1,0.976799842,0.412355932,0.081226113,0.019084012,0.078810015,0.955398852,0.122200101,0.020462451,0.074792881,0.009806413,0.025547811,0.017662466,0.018926641,-0.402651445,1.375852732,WaveIntermediate
Vigo,North,VigoNorth,4,4,PuntaNinhoCorvo,42.263236,-8.755239,33963,0.62,CalcAlkalineGranitoids,1.25,0,0,3,1,0,0,4,1,1,2,1,0,1,0,0,1,0,0,1,25,15,12,17.3,6.81,61,2,2,2,0,0,0,44,11,0,0,4,15,13,0.033,0.033,0,0.721,0.066,0.246,0.213,5,35,21,0.344,0,50,11,0.180327869,0,6.540983607,0.903950045,0.390147541,0.086633103,0.017140904,0.069430954,0.883769937,0.118089488,0.02873869,0.060938937,-0.00488683,0.029330208,0.010123312,0.022772035,0.932386131,-0.765594837,WaveIntermediate
Vigo,North,VigoNorth,5,5,PuntaIgreixinha,42.254017,-8.834264,48510,0.89,AlkalineGranitoids,3.25,0,0,5,1,1,0,0,0,1,4,1,0,1,2,1,1,0,0,1,21,28,22,23.7,3.79,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,30,0.652,0,42,4,0.086956522,0,6.006521739,0.704084015,0.394543478,0.068163107,0.040911981,0.059520856,0.832943081,0.089876114,0.02289302,0.052321159,-0.002929971,0.021921598,0.029561657,0.022318532,2.686490555,-0.196063648,WaveExposed
Vigo,North,VigoNorth,6,6,CaboHome,42.2504,-8.871778,53977,0.99,Schists,4.75,0,0,5,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,7,3,1,3.7,3.06,48,0,0,0,0,0,0,41,0,7,0,0,7,7,0,0,0,0.854,0,0.146,0.146,13,28,7,0.146,0,48,0,0,0,5.65,0.916282963,0.265645833,0.073167976,-0.075061152,0.065149051,0.797847423,0.118110742,0.033366534,0.062801483,-0.016472363,0.026016057,0.044568068,0.025239029,2.109601442,0.007899826,WaveExposed
Vigo,South,VigoSouth,1,7,Cesantes,42.316028,-8.618678,4603,0.05,AlkalineGranitoids,0.25,5,1,1,0,0,1,5,1,0,0,0,0,0,0,0,0,4,1,0,24,40,49,37.7,12.66,63,0,43,13,0,7,0,0,0,0,0,63,20,0,0.683,0.206,0.111,0,1,0.317,0,44,19,0,0,0,44,19,0.301587302,0,9.834920635,1.232380169,0.401952381,0.09394103,-0.090465003,0.077220471,1.213991714,0.150400313,-0.03205773,0.050390017,0.038141346,0.022876216,-0.025739541,0.019167758,-4.354892468,-2.337913906,WaveSheltered
Vigo,South,VigoSouth,2,8,PuntaSoutelo,42.288058,-8.638128,13748,0.15,AlkalineGranitoids,0.75,5,1,1,0,0,1,5,1,0,0,0,1,0,1,1,0,1,1,1,4,1,1,2,1.73,44,0,18,7,0,17,1,1,0,0,0,42,25,1,0.409,0.159,0.386,0.023,0.955,0.568,0.023,28,16,0,0,0,39,5,0.113636364,0,9.054545455,1.369850534,0.403568182,0.098996452,-0.060559292,0.072234229,1.125831411,0.173025679,-0.047467744,0.046142439,0.023092782,0.024608134,-0.027191431,0.02467796,-3.679333014,-1.400508379,WaveSheltered
Vigo,South,VigoSouth,3,9,Areinho,42.259986,-8.698522,24392,0.26,Gneisses,0.75,0,0,5,1,0,1,4,1,1,0,0,1,1,3,1,1,5,1,1,22,59,35,38.7,18.77,69,2,14,4,0,8,0,34,7,0,0,26,21,9,0.203,0.058,0.116,0.493,0.377,0.304,0.13,26,36,6,0.09,1,68,1,0.014492754,0,8.237681159,1.043340429,0.393202899,0.076152436,-0.041311873,0.07179922,1.116164378,0.134067008,-0.003939417,0.050545772,0.012066141,0.033149347,-0.001348628,0.02873637,-1.092921703,2.094760851,WaveIntermediate
Vigo,South,VigoSouth,4,10,Coruxo,42.201161,-8.785453,53258,0.58,AlkalineGranitoids,1.25,0,0,4,1,1,1,4,1,1,3,1,0,1,1,1,0,1,1,1,10,14,5,9.7,4.51,47,0,0,0,5,0,0,37,0,5,0,0,10,10,0,0,0,0.787,0,0.213,0.213,5,18,24,0.511,0,45,2,0.042553191,0,5.487234043,0.628876507,0.303808511,0.066733942,-0.030997936,0.063685622,0.741175581,0.081735379,0.005582864,0.04972863,0.009420867,0.025408351,0.029310031,0.030515494,0.644873498,-1.515083257,WaveExposed
