T_type	run_length	sl	sh	score
T1	1	55.475	97.525	73.5
T1	2	28.95	72	50
T1	3	21	66	39
T1	4	9.9	54.1	28
T1	5	2.375	45	20
T1	6	0	48	24
T1	7	0	49	14
T1	8	0	40	16
T1	9	0	40.725	9
T1	10	0	40	10
T1	11	0	221.3	88
T2	1	36	69.525	51
T2	2	14	48	30
T2	3	3	37.575	18
T2	4	0	32	12
T2	5	0	27.625	5
T2	6	0	24	6
T2	7	0	21	0
T2	8	0	16	0
T2	9	0	18	0
T2	10	0	10	0
T2	11	0	44.575	0
T3	1	12.475	46	29
T3	2	2	31.05	12
T3	3	0	21	6
T3	4	0	14.1	4
T3	5	0	12.625	0
T3	6	0	9.15	0
T3	7	0	7	0
T3	8	0	8	0
T3	9	0	0	0
T3	10	0	5.25	0
T3	11	0	11.525	0
T4	1	4.475	32.05	15
T4	2	0	17.05	4
T4	3	0	12	0
T4	4	0	8.2	0
T4	5	0	5	0
T4	6	0	6	0
T4	7	0	7	0
T4	8	0	0	0
T4	9	0	0	0
T4	10	0	0	0
T4	11	0	0	0
