generation	transect	b	p_beta	lrt_p_value
1	1	-0.153125613	0.008920647	0.008999098
1	2	-0.097338391	0.091145117	NA
1	3	-0.09351083	0.103606002	0.103558607
1	4	-0.189056381	0.00103029	NA
2	1	0.004416596	0.939815105	0.939812955
2	2	-0.055806549	0.169250766	NA
2	3	-0.03180431	0.582813761	0.582823176
2	4	0.006300255	0.913380001	NA
3	1	-0.004440883	0.939141124	0.939150277
3	2	0.081407763	0.163912077	0.163992781
3	3	-0.023226547	0.695472421	0.695501438
3	4	-0.009273529	0.899795006	NA
4	1	0.086874551	0.136560308	0.136740133
4	2	-0.074851332	0.205088083	0.205082242
4	3	0.041945325	0.494465267	0.494340627
4	4	-0.047897228	0.4246642	0.424902544
5	1	0.025256917	0.67170017	0.671689126
5	2	0.021436165	0.71503348	0.714997639
5	3	0.022811973	0.70692959	0.706972841
5	4	-0.064884944	0.281303548	0.281988027
6	1	-0.025256674	0.678633342	0.678685596
6	2	-0.062062449	0.278927924	0.279115192
6	3	0.071884405	0.220035908	0.220358853
6	4	-0.072510064	0.215985964	0.216039196
7	1	-0.045078372	0.433131905	0.433074443
7	2	-0.104409566	0.079173918	0.079472894
7	3	0.047622627	0.449474104	0.449425756
7	4	0.057714403	0.354443674	0.35446717
8	1	-0.074587017	0.227280485	0.227430552
8	2	-0.051276004	0.405983981	0.406052848
8	3	0.070932857	0.252450811	0.252712617
8	4	-0.049694919	0.412441119	0.412757156
9	1	-0.030568829	0.619677234	0.619717885
9	2	0.008294205	0.892807945	0.892809744
9	3	-0.021741688	0.732200901	0.732161943
9	4	0.013906867	0.821317551	0.821338587
10	1	-0.031102923	0.598078597	0.598117827
10	2	-0.091223295	0.137788721	0.13806251
10	3	-0.014600871	0.809476121	0.80948938
10	4	0.036014703	0.530584667	0.530738917
11	1	0.098627764	0.094375455	0.094634914
11	2	0.019590114	0.749655261	0.749672704
11	3	0.059930233	0.323621348	0.323784047
11	4	-0.046853678	0.410100035	0.409977539
12	1	0.080187145	0.184212632	0.184244337
12	2	-0.021623847	0.729964051	0.729940599
12	3	0.051073369	0.416784508	0.41680464
12	4	-0.02596598	0.657394497	0.657363815
13	1	-0.025601749	0.678392803	0.678397106
13	2	-0.036773832	0.543204681	0.543203941
13	3	0.053620665	0.400426887	0.400345811
13	4	-0.097896931	0.10982168	0.110058289
14	1	-0.043193798	0.467666872	0.467620649
14	2	-0.049059059	0.435795164	0.435821568
14	3	-0.03546676	0.580317357	0.58033587
14	4	-0.019788698	0.751376107	0.75135449
15	1	0.020726845	0.736045741	0.736032608
15	2	0.050399186	0.411220715	0.411123866
15	3	-0.03780282	0.559508049	0.559590549
15	4	-0.060258265	0.311675035	0.311850111
16	1	-0.121011051	0.050846109	0.051123225
16	2	-0.073493188	0.238700259	0.238838005
16	3	0.010176243	0.875117248	0.875118977
16	4	0.007228081	0.904816281	0.9048429
17	1	0.058021554	0.372123452	0.372305014
17	2	0.101938795	0.119571576	0.119583338
17	3	0.016458384	0.7990565	0.799064057
17	4	-0.012935729	0.839350007	0.839360152
18	1	0.076030921	0.263221967	0.263293837
18	2	-0.022540002	0.715555572	0.715545435
18	3	-0.021722471	0.739785796	0.739788967
18	4	-0.122674776	0.061030786	0.06120714
19	1	0.030507951	0.63582331	0.635819811
19	2	-0.01212267	0.848173805	0.848184186
19	3	0.042673076	0.507391694	0.507497612
19	4	0.070905578	0.262262158	0.26232176
20	1	0.007799792	0.902406289	0.902406713
20	2	-0.016160127	0.80127282	0.80125425
20	3	0.038111875	0.574179386	0.574113733
20	4	0.042008924	0.51521574	0.515225614
21	1	0.003457613	0.958819584	0.958819702
21	2	-0.018355504	0.766532029	0.76654133
21	3	0.078433795	0.219709434	0.219684442
21	4	0.030464708	0.652790946	0.652810933
22	1	-0.065050611	0.319901238	0.319846678
22	2	0.082839355	0.193012073	0.193195803
22	3	0.086851362	0.17686595	0.176979141
22	4	-0.055476529	0.388124741	0.388200223
23	1	-0.00595261	0.926602523	0.926605366
23	2	0.061561917	0.346278296	0.346405512
23	3	-0.123303136	0.049796213	0.049991632
23	4	0.005047622	0.93763375	0.937632992
24	1	0.053180477	0.42222533	0.422304066
24	2	0.044908102	0.48106316	0.481127149
24	3	0.057547544	0.375690277	0.375639485
24	4	0.110148014	0.088124187	0.088319674
25	1	0.02231891	0.740352397	0.740370253
25	2	-0.003040702	0.962361047	0.962381955
25	3	0.032942404	0.606865883	0.606851873
25	4	0.064579734	0.322145172	0.322162839
26	1	-0.035464396	0.606420801	0.606430086
26	2	0.060413022	0.362499408	0.362621641
26	3	-0.022977003	0.72171611	0.721712795
26	4	0.011355785	0.867122011	0.867125604
27	1	0.036979046	0.57533447	0.575319534
27	2	0.087137096	0.20696759	0.207302261
27	3	-0.034522502	0.613141591	0.613203415
27	4	0.002584522	0.969265332	0.96926817
28	1	-0.002099151	0.975206521	0.975205875
28	2	-0.043273794	0.531031689	0.53105168
28	3	-0.003326737	0.959613204	0.959614326
28	4	-0.059952376	0.352024657	0.35211129
29	1	0.013329713	0.843561458	0.843536555
29	2	0.014376015	0.834928081	0.834926939
29	3	-0.041504502	0.541188293	0.541109249
29	4	-0.012703245	0.851711825	0.851716783
30	1	-0.030151213	0.652195547	0.652225276
