generation	transect	bl	bh	b	N	nsig	p
1	1	-1.637239795	0.9833316	-0.120449708	100	6	0.06
1	2	-1.380358245	0.991060805	-0.071345266	100	3	0.03
1	3	-1.088513554	0.942482141	-0.072259258	100	3	0.03
1	4	-1.265919503	0.90270839	-0.152037004	100	3	0.03
2	1	-1.102083831	1.182364308	0.00609147	100	2	0.02
2	2	-1.341168768	1.063841928	-0.063076652	100	3	0.03
2	3	-1.186763404	1.025740341	-0.040318299	100	2	0.02
2	4	-1.207361509	1.196057201	0.055764313	100	1	0.01
3	1	-1.481546726	1.059612459	0.026126188	100	4	0.04
3	2	-1.147875418	1.215472243	0.052532122	100	2	0.02
3	3	-1.052386495	1.098998103	-0.115589546	100	1	0.01
3	4	-1.259768373	1.548379357	0.016446646	100	6	0.06
4	1	-1.034321556	1.231505525	0.093872374	100	2	0.02
4	2	-1.218632472	1.226667953	-0.111466663	100	4	0.04
4	3	-1.270495533	1.499361871	0.125584893	100	3	0.03
4	4	-1.249663739	1.224251596	-0.035531476	100	2	0.02
5	1	-1.278146022	1.15259072	0.050543203	100	8	0.08
5	2	-1.122623043	1.267967862	0.153734444	100	1	0.01
5	3	-1.222258302	1.32462979	0.037962756	100	3	0.03
5	4	-1.060396677	1.087312157	-0.057906063	100	2	0.02
6	1	-1.259214259	1.041780929	-0.025397899	100	3	0.03
6	2	-1.308345072	0.958721133	-0.048183453	100	6	0.06
6	3	-1.038982563	1.653376061	0.092990268	100	3	0.03
6	4	-1.192422244	0.993651314	-0.07562268	100	2	0.02
7	1	-1.094475767	1.103020323	-0.026137085	100	4	0.04
7	2	-1.127435798	1.051267079	-0.036769558	100	1	0.01
7	3	-1.081815411	1.497747193	0.055998391	100	1	0.01
7	4	-0.9278961	1.406576729	0.093896948	100	3	0.03
8	1	-1.438539856	1.181563493	-0.078287268	100	2	0.02
8	2	-1.196585664	1.052937053	-0.058876728	100	4	0.04
8	3	-1.328038431	1.229323403	-0.008488712	100	4	0.04
8	4	-1.239397719	1.0159984	-0.033783617	100	1	0.01
9	1	-1.072794761	1.107969678	0.033601495	100	5	0.05
9	2	-1.230394515	1.015816749	0.080707887	100	3	0.03
9	3	-1.16839647	1.249718024	0.008482469	100	4	0.04
9	4	-1.211463705	0.997803571	0.185414816	100	3	0.03
10	1	-1.175971726	0.966948329	-0.068478749	100	1	0.01
10	2	-1.171679951	1.002242135	-0.093245184	100	0	0
10	3	-0.96758713	1.060724103	-0.045299171	100	3	0.03
10	4	-1.015624682	1.237408648	0.062216478	100	4	0.04
11	1	-0.75137431	1.567410282	0.040113891	100	3	0.03
11	2	-0.851427867	0.843167298	0.021994206	100	1	0.01
11	3	-0.969509339	1.197478817	0.068959436	100	4	0.04
11	4	-1.18272029	0.857575126	-0.031465825	100	1	0.01
12	1	-1.045578941	1.116037203	0.076685313	100	1	0.01
12	2	-1.201175843	1.774514105	-0.008564805	100	3	0.03
12	3	-1.094222316	1.326937307	0.067699373	100	2	0.02
12	4	-1.343805582	1.04865744	-0.074718995	100	4	0.04
13	1	-0.952407546	0.991388958	-0.062226591	100	3	0.03
13	2	-1.27425216	0.911600469	-0.120011323	100	4	0.04
13	3	-1.045030379	1.572883094	0.090082361	100	6	0.06
