generation	transect	bl	bh	b	N	nsig	p
1	1	-0.948964036	2.115076294	0.184427124	100	7	0.07
1	2	-0.8819264	1.136816294	0.015419933	100	2	0.02
1	3	-0.930534657	1.174362423	0.045172348	100	1	0.01
1	4	-0.904037564	1.182405881	0.166735577	100	2	0.02
2	1	-1.169176221	1.342405911	0.162544103	100	4	0.04
2	2	-1.126708018	0.985269514	-0.047306031	100	1	0.01
2	3	-1.220692871	0.897485952	-0.122866475	100	4	0.04
2	4	-1.119660296	1.294494089	-0.067388072	100	3	0.03
3	1	-1.158214609	1.09858	-0.040042603	100	0	0
3	2	-1.278665489	1.394382971	-0.063221409	100	3	0.03
3	3	-1.51921634	1.067459798	0.226014953	100	5	0.05
3	4	-1.336903193	1.464113046	-0.055987833	100	2	0.02
4	1	-1.453219092	1.093011498	0.009001562	100	4	0.04
4	2	-1.526946998	1.007014119	-0.085766981	100	4	0.04
4	3	-1.292662467	1.75287592	0.083263928	100	6	0.06
4	4	-1.277872886	1.261898005	0.005912035	100	3	0.03
5	1	-1.187840359	1.200545032	-0.062584712	100	3	0.03
5	2	-0.904801828	1.152628386	0.065323723	100	0	0
5	3	-1.142245931	1.03056212	-0.043865444	100	3	0.03
5	4	-1.109276039	0.948818915	-0.057147356	100	1	0.01
6	1	-1.232323675	1.39726228	0.076482875	100	5	0.05
6	2	-1.361570706	1.225542554	-0.053180477	100	6	0.06
6	3	-1.174693778	1.414373164	0.041564017	100	3	0.03
6	4	-1.159380972	1.081837557	0.040754945	100	2	0.02
7	1	-1.114623241	1.172037118	0.059222229	100	3	0.03
7	2	-1.10237432	0.926921406	0.056296508	100	3	0.03
7	3	-1.225005064	1.118358919	-0.049593482	100	1	0.01
7	4	-1.222205663	1.39012958	4.67E-05	100	5	0.05
8	1	-1.155528594	1.113111602	-0.05310324	100	1	0.01
8	2	-1.82469172	1.24595266	0.118544495	100	4	0.04
8	3	-1.366259727	1.396078069	0.03673396	100	3	0.03
8	4	-1.448058692	1.364267435	0.061404339	100	3	0.03
9	1	-1.179035779	1.542733873	-0.037758218	100	6	0.06
9	2	-1.076432681	1.18532078	-0.032356368	100	4	0.04
9	3	-1.278943521	1.090836843	-4.02E-04	100	0	0
9	4	-1.22390873	1.536860655	0.040406762	100	3	0.03
10	1	-1.046481654	1.060784493	0.001451294	100	1	0.01
10	2	-1.318325755	1.167765963	0.068070608	100	3	0.03
10	3	-1.084620985	1.351333546	0.046943711	100	1	0.01
10	4	-1.432736674	1.06057414	0.085743193	100	5	0.05
11	1	-0.985773993	1.426604304	0.117311581	100	3	0.03
11	2	-1.257154192	1.247154066	-0.033301595	100	7	0.07
11	3	-1.046512702	1.141897813	0.002036803	100	2	0.02
11	4	-1.367898266	1.329649656	0.002344055	100	0	0
12	1	-1.059252357	1.062589562	-0.029239481	100	1	0.01
12	2	-1.118473377	1.394371854	0.116721287	100	4	0.04
12	3	-1.006844399	1.269835468	0.038808374	100	6	0.06
12	4	-1.604960111	1.16959319	-0.083840275	100	7	0.07
13	1	-1.079803076	1.440300911	0.051344525	100	4	0.04
13	2	-1.160915375	1.409144707	-0.027869307	100	3	0.03
13	3	-1.126474855	1.294404572	0.12906684	100	4	0.04
13	4	-1.170653119	0.887250896	-0.145241207	100	4	0.04
14	1	-1.023472844	1.454001399	0.036666576	100	4	0.04
14	2	-1.175971102	0.89559765	-0.010375352	100	3	0.03
14	3	-1.705650021	1.073629478	-0.035364392	100	5	0.05
14	4	-1.09837668	1.107370931	-0.055907905	100	5	0.05
15	1	-0.984745384	1.059677162	-0.054651204	100	1	0.01
15	2	-1.480223795	1.124736836	0.016325312	100	5	0.05
15	3	-1.098210175	1.245661889	-0.053732631	100	4	0.04
15	4	-1.058988226	1.061873743	-0.065755534	100	2	0.02
16	1	-1.088979373	1.187983997	-0.019509531	100	3	0.03
16	2	-1.353235109	1.173705477	-0.021451147	100	4	0.04
16	3	-1.031430857	1.318950791	-0.026176944	100	5	0.05
16	4	-1.176431456	1.238348025	0.08301147	100	7	0.07
17	1	-1.174448325	1.240939638	-0.134666569	100	2	0.02
17	2	-1.064794256	1.151192658	-0.013704907	100	4	0.04
17	3	-1.074113822	1.037519008	-0.11906041	100	2	0.02
17	4	-1.099305476	1.026004228	-0.020109883	100	4	0.04
18	1	-1.027944338	1.532867261	0.126675756	100	4	0.04
18	2	-1.503438798	1.253241654	0.045153219	100	5	0.05
18	3	-1.082658664	1.069769579	-0.065558528	100	2	0.02
18	4	-1.358305938	1.141520463	0.057582309	100	2	0.02
19	1	-1.31800446	1.55299453	-0.147241691	100	2	0.02
19	2	-1.074390653	1.336792323	-0.034984423	100	1	0.01
19	3	-1.127988675	1.284534425	0.032931238	100	4	0.04
19	4	-1.001647442	1.420312778	0.186394644	100	5	0.05
20	1	-1.00196185	1.165899657	0.061021668	100	1	0.01
20	2	-1.054669099	1.16941121	0.009959503	100	2	0.02
20	3	-1.294166268	0.952124953	-0.125395261	100	4	0.04
20	4	-1.062272114	1.260161835	0.14160988	100	6	0.06
21	1	-1.164256137	1.078911435	0.021246861	100	4	0.04
21	2	-1.359841618	1.075029954	0.071606664	100	2	0.02
21	3	-0.981609468	1.164849981	0.005838329	100	2	0.02
21	4	-1.006871748	1.057248791	0.137706001	100	2	0.02
22	1	-1.149137379	1.015784916	-0.041328525	100	2	0.02
22	2	-1.334449038	1.183073906	-0.006354568	100	4	0.04
22	3	-1.420468761	1.027742381	-0.118590957	100	3	0.03
22	4	-0.98766927	1.211558908	0.067966378	100	6	0.06
23	1	-1.243800535	1.081072368	-0.066592618	100	4	0.04
23	2	-1.073724387	1.254154623	0.132628582	100	2	0.02
23	3	-1.193760184	0.969070504	-0.119362591	100	1	0.01
23	4	-1.026567801	1.110062385	-0.005255697	100	6	0.06
24	1	-1.369005714	1.178229165	-0.102790585	100	6	0.06
24	2	-1.028432796	0.969608827	0.127660378	100	1	0.01
24	3	-1.614751197	1.203399167	-0.009688737	100	5	0.05
24	4	-0.948601863	0.934931396	0.053916942	100	0	0
25	1	-1.59428372	1.06029143	-0.139303957	100	5	0.05
25	2	-1.116671126	1.119399989	0.083340925	100	1	0.01
25	3	-1.002444659	1.465688289	0.067342273	100	4	0.04
25	4	-0.89717733	1.319807469	-0.098122688	100	4	0.04
26	1	-1.592440581	1.035342212	-0.023009194	100	2	0.02
26	2	-1.287553327	0.973166703	-0.011051057	100	5	0.05
26	3	-1.152428154	0.910856572	0.043357259	100	3	0.03
26	4	-1.101437269	1.021144495	0.013867941	100	2	0.02
27	1	-1.253552336	1.250628623	-0.072765792	100	4	0.04
27	2	-0.927439567	0.927885873	0.0263875	100	3	0.03
27	3	-0.983185225	1.262420427	0.102692766	100	5	0.05
27	4	-0.991069052	1.165662836	0.00430525	100	3	0.03
28	1	-1.062928928	1.207993535	0.018036872	100	5	0.05
28	2	-0.999335577	1.067492799	-0.044916378	100	3	0.03
28	3	-1.055985582	0.979161002	0.028152946	100	2	0.02
28	4	-0.878856426	1.113780928	0.006782133	100	1	0.01
29	1	-1.145458504	0.938595412	0.028152145	100	3	0.03
29	2	-1.039436432	1.024586176	-0.087330023	100	4	0.04
29	3	-0.969733123	0.94925631	-0.009023651	100	2	0.02
29	4	-1.139634321	1.019211138	-0.007544059	100	3	0.03
30	1	-1.117046722	0.968143711	0.090146476	100	2	0.02
30	2	-0.909326349	1.278774416	0.03284812	100	3	0.03
30	3	-0.84727474	1.128095855	0.077143862	100	2	0.02
30	4	-0.89461171	1.39953609	0.093590103	100	5	0.05
31	1	-1.088841686	1.11847478	-0.048595007	100	5	0.05
31	2	-0.961157181	1.375500187	-0.042417625	100	1	0.01
31	3	-0.616712503	1.006495485	0.153091557	100	1	0.01
31	4	-1.328299976	0.850281345	-0.100873451	100	3	0.03
32	1	-0.699345967	1.009504697	-0.02509558	100	4	0.04
32	2	-0.994828486	0.837177703	0.00787452	100	1	0.01
32	3	-1.007809591	1.289653278	-0.032127984	100	2	0.02
32	4	-0.898120463	1.090896232	0.032415582	100	2	0.02
33	1	-0.993361583	1.312067968	0.043845363	100	5	0.05
33	2	-1.054442349	1.104435407	0.004017616	100	1	0.01
33	3	-1.093563802	0.945052103	-0.044481127	100	5	0.05
33	4	-0.917189732	1.193238989	0.068727809	100	5	0.05
34	1	-1.173011091	0.931899396	0.028370759	100	3	0.03
34	2	-1.02133809	1.374504243	-0.020139826	100	2	0.02
34	3	-0.83096259	1.133308288	0.010142794	100	1	0.01
34	4	-1.002271185	1.007162885	-0.0219278	100	3	0.03
35	1	-1.102931072	1.081233547	0.035249085	100	3	0.03
35	2	-1.381202249	0.956874642	0.100396817	100	1	0.01
35	3	-0.958693361	1.096247688	0.199269918	100	4	0.04
35	4	-1.271424057	1.681033841	0.035176548	100	3	0.03
36	1	-1.131951078	0.850727954	-0.01530253	100	5	0.05
36	2	-0.916479454	1.700053796	-0.018956566	100	6	0.06
36	3	-1.368594554	0.846789451	-0.020104482	100	1	0.01
36	4	-1.15042533	0.921776496	-0.042930441	100	3	0.03
37	1	-0.937610333	1.387801107	-0.03503296	100	6	0.06
37	2	-0.839427638	0.940701735	0.051838881	100	1	0.01
37	3	-0.965775672	1.303851352	0.122249107	100	1	0.01
37	4	-1.102374159	1.132300915	-0.002004321	100	6	0.06
38	1	-1.124452514	0.85797074	-0.047287671	100	2	0.02
38	2	-1.154660385	1.092457923	-0.073884546	100	7	0.07
38	3	-1.168624142	0.95953007	0.085638381	100	2	0.02
38	4	-1.062794476	1.172786945	0.081493311	100	2	0.02
39	1	-0.860868771	0.932493943	0.055603205	100	3	0.03
39	2	-0.85440179	0.914890111	0.05551409	100	1	0.01
39	3	-0.928853224	1.253181495	0.001182348	100	1	0.01
39	4	-0.963570383	1.141115179	-0.001937225	100	5	0.05
40	1	-1.016056316	1.203102452	-0.03297998	100	4	0.04
40	2	-1.113688556	1.016707601	0.032994273	100	5	0.05
40	3	-0.89852204	0.897284382	0.04394993	100	2	0.02
40	4	-0.8272868	0.943746029	-0.040632698	100	2	0.02
41	1	-0.976706841	1.102304831	0.037271281	100	4	0.04
