generation	transect	bl	bh	b	N	nsig	p
1	1	-1.335084046	1.365217037	0.058978743	100	2	0.02
1	2	-1.21798748	0.95594123	-0.103083127	100	0	0
1	3	-1.551315792	1.124387241	-0.026708964	100	6	0.06
1	4	-1.172623356	1.122124058	0.008769315	100	4	0.04
2	1	-1.096736392	1.165510949	-0.027391509	100	2	0.02
2	2	-1.267970144	1.149643628	-0.076540094	100	1	0.01
2	3	-1.172366864	1.228932712	0.062910933	100	1	0.01
2	4	-0.897645036	1.274336389	9.67E-04	100	0	0
3	1	-1.289376728	0.855199365	-0.148258576	100	2	0.02
3	2	-1.048940815	1.192107583	0.064256538	100	3	0.03
3	3	-1.327330791	1.138757392	-0.198973751	100	5	0.05
3	4	-1.319866142	1.075406238	-0.026348802	100	7	0.07
4	1	-1.090452726	1.106223794	0.144911124	100	3	0.03
4	2	-1.133650114	1.13335934	-0.067624208	100	1	0.01
4	3	-1.220164071	1.130064002	-0.039785047	100	2	0.02
4	4	-1.046519816	1.283276284	-0.04711164	100	3	0.03
5	1	-1.424206594	1.331039706	0.07312806	100	4	0.04
5	2	-1.120898179	1.289129045	-0.051692161	100	5	0.05
5	3	-1.269250374	1.228288675	-0.169677252	100	4	0.04
5	4	-1.079150177	0.945299994	0.141418066	100	1	0.01
6	1	-1.326492447	1.215077686	-0.083412604	100	3	0.03
6	2	-1.236655232	1.283685835	0.007860747	100	5	0.05
6	3	-1.196130423	1.099634587	0.144169466	100	5	0.05
6	4	-1.346492965	1.345226847	-0.122957252	100	3	0.03
7	1	-1.425193884	1.14154131	0.004526845	100	4	0.04
7	2	-1.162056332	1.091596391	-0.08787796	100	4	0.04
7	3	-1.022903082	1.355825092	-0.061090017	100	1	0.01
7	4	-1.135433128	1.411993016	0.050318608	100	5	0.05
8	1	-1.096851778	1.148050081	0.030167618	100	5	0.05
8	2	-0.95403588	1.360834569	0.108913251	100	0	0
8	3	-1.130828105	1.154504571	-0.062620125	100	3	0.03
8	4	-1.458727769	1.179569689	0.060564433	100	6	0.06
9	1	-1.100394661	1.26712669	0.056618616	100	4	0.04
9	2	-1.373117845	1.057696594	0.043106321	100	3	0.03
9	3	-1.29430599	1.225168845	0.00730566	100	5	0.05
9	4	-1.232765109	1.095365865	0.059893218	100	4	0.04
10	1	-1.027703728	1.347417167	0.003329425	100	2	0.02
10	2	-1.164820711	1.295912466	0.166764508	100	4	0.04
10	3	-1.153580429	0.885643802	-0.044329253	100	1	0.01
10	4	-1.034491223	1.139251921	0.019771835	100	4	0.04
11	1	-0.983531424	1.206656168	0.070414914	100	2	0.02
11	2	-1.23101955	1.255652658	-0.034020154	100	2	0.02
11	3	-1.115239546	1.160726096	-0.018089678	100	3	0.03
11	4	-1.410012239	0.92288191	-0.115415713	100	3	0.03
12	1	-0.91766978	1.021615177	0.065581007	100	1	0.01
12	2	-1.294635033	1.067701941	0.118812003	100	4	0.04
12	3	-1.024302051	1.052767612	0.034759036	100	0	0
12	4	-1.14226502	0.965958576	0.095621898	100	3	0.03
13	1	-1.070103228	0.980571278	-0.006258619	100	3	0.03
13	2	-1.148619198	1.13953994	-0.031190848	100	3	0.03
13	3	-0.904675082	1.173754654	-0.065231331	100	1	0.01
