Year,LocName,Coast,LocNumCumulative,DistanceRiver_Absolute,n,Fulva_Counts,Lineata_Counts,Fulva_Frequency,Lineata_Frequency
1979,PuntaCabalo,North,1,6960,462,335,0,0.73,0
1979,PuntaPereiro,North,2,8093,554,492,0,0.89,0
1979,SanAdrian,North,3,11495,1368,1136,0,0.83,0
1979,PuenteRande,North,4,12905,486,317,0,0.65,0
1979,PuntaColloBestia,North,5,14040,1028,900,0,0.88,0
1979,Borna,North,6,17008,1804,263,1206,0.15,0.67
1979,PuntaArroas,North,7,18066,852,12,553,0.01,0.65
1979,Meira,North,8,21307,752,563,22,0.75,0.03
1979,PraiaCon,North,10,24450,846,209,338,0.25,0.4
1979,PuntaNinhoCorvo,North,11,26019,1000,124,416,0.12,0.42
1979,PuntaRodeira,North,12,27237,1250,137,820,0.11,0.66
1979,PuntaBalea,North,13,30212,1220,24,703,0.02,0.58
1979,PuntaBorneira,North,14,31018,1174,0,1172,0.01,1
1979,LimensPuntaSalgueira,North,15,32368,1064,0,1054,0,0.99
1979,PuntaIgreixinha,North,16,36235,1200,0,1200,0,1
1979,PuntaSubrido,North,17,40007,1822,0,1822,0,1
1979,CaboHome,North,18,41632,1704,0,1704,0,1
1979,MuelleArcade,South,1,858,1252,994,0,0.79,0
1979,PuntaPuntal,South,2,1221,332,275,0,0.83,0
1979,PuntaPesquera,South,3,1982,832,576,0,0.69,0
1979,Cesantes,South,4,3915,1853,1010,0,0.55,0
1979,PuntaSoutelo,South,5,11631,495,311,0,0.63,0
1979,Cabanas,South,6,14253,788,477,18,0.61,0.02
1979,ChapelaPuntaCubillo,South,7,16061,680,448,139,0.66,0.2
1979,Areinho,South,8,18791,726,498,0,0.69,0
1979,Alcabre,South,9,28311,2118,0,1603,0,0.76
1979,Coruxo,South,10,31474,1190,0,975,0,0.82
1979,Canido,South,11,34158,852,0,433,0,0.51
1979,CaboEstai,South,12,35432,1322,0,741,0,0.56
1979,Patos,South,13,39827,696,4,613,0.01,0.88
1979,Panxon,South,14,43863,718,12,699,0.02,0.97
1979,PanxonCastro,South,15,44911,1030,22,978,0.02,0.95
1979,MonteLourido,South,16,47616,844,0,367,0,0.43
1979,SantaMarta,South,17,53976,1160,1,944,0,0.81
1979,BaionaPuntaTenaza,South,18,56305,372,0,321,0,0.86
1979,BaionaCuncheiro,South,19,57405,786,0,786,0,1
2022,PuntaCabalo,North,1,6960,45,45,0,0.78,0
2022,PuntaPereiro+B53,North,2,8093,42,42,0,0.81,0
2022,SanAdrian,North,3,11495,29,29,0,0.62,0
2022,PuenteRande,North,4,12905,39,39,0,0.8,0
2022,PuntaColloBestia,North,5,14040,41,41,0,0.77,0
2022,Borna,North,6,17008,30,0,30,0,0.57
2022,PuntaArroas,North,7,18066,41,5,36,0.09,0.64
2022,Meira,North,8,21307,47,28,19,0.47,0.32
2022,PraiaCon,North,10,24450,26,0,26,0,0.52
2022,PuntaNinhoCorvo,North,11,26019,49,0,49,0,0.77
2022,PuntaRodeira,North,12,27237,47,0,47,0,0.85
2022,PuntaBalea,North,13,30212,49,0,49,0,0.83
2022,PuntaBorneira,North,14,31018,46,0,46,0,0.96
2022,LimensPuntaSalgueira,North,15,32368,49,0,49,0,0.94
2022,PuntaIgreixinha,North,16,36235,54,0,54,0,1
2022,PuntaSubrido,North,17,40007,62,0,62,0,1
2022,CaboHome,North,18,41632,42,0,42,0,0.78
2022,MuelleArcade,South,1,858,27,27,0,0.46,0
2022,PuntaPuntal,South,2,1221,59,59,0,0.81,0
2022,PuntaPesquera,South,3,1982,28,28,0,0.57,0
2022,Cesantes,South,4,3915,46,46,0,0.73,0
2022,PuntaSoutelo,South,5,11631,39,36,3,0.68,0.06
2022,Cabanas,South,6,14253,35,22,13,0.36,0.21
2022,ChapelaPuntaCubillo,South,7,16061,45,5,40,0.08,0.66
2022,Areinho,South,8,18791,36,4,32,0.08,0.67
2022,Alcabre,South,9,28311,52,3,49,0.05,0.79
2022,Coruxo,South,10,31474,50,0,50,0,0.81
2022,Canido,South,11,34158,52,4,48,0.06,0.75
2022,CaboEstai,South,12,35432,46,29,17,0.54,0.31
2022,Patos,South,13,39827,56,1,55,0.02,0.93
2022,Panxon,South,14,43863,58,0,58,0,0.97
2022,PanxonCastro,South,15,44911,61,0,61,0,1
2022,MonteLourido,South,16,47616,33,0,33,0,0.77
2022,SantaMarta,South,17,53976,46,5,41,0.07,0.61
2022,BaionaPuntaTenaza,South,18,56305,56,0,56,0,1
2022,BaionaCuncheiro,South,19,57405,53,0,53,0,1
